Drink,Ingredient,Amount,IngredientUse,Glass,HowToMix
Absinthe Drip,Sugar Cube,1,Build,Absinthe,"Pour absinthe into a chilled absinthe glass. Place an absinthe spoon over the rim and set a sugar cube on top. Using an absinthe fountain or water carafe, slowly pour or drip ice-cold water over sugar cube into the glass"
Against All Odds Cocktail,Bushmills Irish Whiskey,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Against All Odds Cocktail,Channing Daughters Scuttlehole Chardonnay,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Against All Odds Cocktail,Pansy Flower,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Against All Odds Cocktail,Rothman & Winter Orchard Apricot,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Against All Odds Cocktail,Rhum Clement Creole Shrubb,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Against All Odds Cocktail,Illegal Reposado Mezcal,,Rinse,Coupe,Stir with ice and strain into a chilled coupe
Aguila Azteca,Honeydew Melon Juice,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Aguila Azteca,Jose Cuervo Tradicional Tequila,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Aguila Azteca,Canton Ginger Liqueur,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Aguila Azteca,Rothman & Winter Creme de Violette,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Airmail,Banks 5 Island Rum,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Airmail,Moet Imperial Champagne,1oz,Top,Coupe,Shake with ice and strain into a chilled coupe
Airmail,Lime Wheel,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Airmail,Honey Syrup,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Airmail,Lime Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Albert Mathieu,Regan's Orange Bitters,1dash,Build,Coupe,Stir with ice and strain into a chilled coupe
Albert Mathieu,St. Germain Elderflower Liqueur,1barspoon,Build,Coupe,Stir with ice and strain into a chilled coupe
Albert Mathieu,Plymouth Gin,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Albert Mathieu,Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Albert Mathieu,Green Chartreuse,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Albert Mathieu,Lillet Blanc,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Algonquin,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Algonquin,Dolin Dry Vermouth,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Algonquin,Pineapple Juice,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Americano Highball,Club Soda,2.5oz,Top,Collins,Build in a chilled Collins glass
Americano Highball,Campari,1.5oz,Build,Collins,Build in a chilled Collins glass
Americano Highball,Carpano Antica Sweet Vermouth,1.5oz,Build,Collins,Build in a chilled Collins glass
Americano Highball,Half an Orange Wheel,1,Garnish,Collins,Build in a chilled Collins glass
Aperol Spritz,Aperol,2oz,Build,Rocks,"Add everything to a chilled rocks glass, then fill with ice"
Aperol Spritz,Carpene Malvolti Prosecco,1oz,Build,Rocks,"Add everything to a chilled rocks glass, then fill with ice"
Aperol Spritz,Club Soda,1oz,Build,Rocks,"Add everything to a chilled rocks glass, then fill with ice"
Aperol Spritz,Half an Orange Wheel,1,Garnish,Rocks,"Add everything to a chilled rocks glass, then fill with ice"
Aperol Spritz,Orange Juice,.5oz,Build,Rocks,"Add everything to a chilled rocks glass, then fill with ice"
Apple Daiquiri,Flor de Cana Silver Dry Rum,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Apple Daiquiri,Lime Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Apple Daiquiri,Schonauer Apfel Schnapps,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Apple Daiquiri,Simple Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Apple Malt Toddy,Red Jacket Orchards Apple Cider,2oz,Build,Mug,Heat everything and served in a pre-warmed heatproof mug
Apple Malt Toddy,Drouhin Pommeau,1oz,Build,Mug,Heat everything and served in a pre-warmed heatproof mug
Apple Malt Toddy,Deep Mountain Grade B Maple Syrup,1barspoon,Build,Mug,Heat everything and served in a pre-warmed heatproof mug
Apple Malt Toddy,Chivas Regal 12-Year-Old Blended Scotch Whiskey,1.5oz,Build,Mug,Heat everything and served in a pre-warmed heatproof mug
Apple Malt Toddy,Cinnamon Stick,1,Garnish,Mug,Heat everything and served in a pre-warmed heatproof mug
Apple Malt Toddy,St. Elizabeth Allspice Dram,.25oz,Build,Mug,Heat everything and served in a pre-warmed heatproof mug
Applejack Rabbit,Laird's Bonded Apple Brandy,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Applejack Rabbit,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Applejack Rabbit,Orange Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Applejack Rabbit,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Apricot Flip,Hine V.S.O.P. Cognac,2oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Apricot Flip,Pinch Grated Nutmeg,1,Garnish,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Apricot Flip,Whole Egg,1,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Apricot Flip,Rothman & Winter Orchard Apricot,.75oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Apricot Flip,Simple Syrup,.5oz,Build,Fizz,"Dry-shake, then shake with ice and strain into a chilled fizz glass"
Archangel,Plymouth Gin,2.25oz,Build,Coupe,Stir with ice and fine-strain into a chilled coupe
Archangel,Cucumber Slice,2,Muddle,Coupe,Stir with ice and fine-strain into a chilled coupe
Archangel,Lemon Twist,1,Garnish,Coupe,Stir with ice and fine-strain into a chilled coupe
Archangel,Aperol,.75oz,Build,Coupe,Stir with ice and fine-strain into a chilled coupe
Astoria Bianco,House Orange Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Astoria Bianco,Tanqueray Gin,2.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Astoria Bianco,Martini Bianco Vermouth,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Astoria Bianco,Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Aviation,Beefeater Gin,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Aviation,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Aviation,Luxardo Maraschino Liqueur,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Aviation,Rothman & Winter Creme de Violette,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Beachbum,Flor de Cana Silver Dry Rum,1oz,Build,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Mount Gay Eclipse Amber Rum,1oz,Build,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Pineapple Juice,1oz,Build,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Orange-Cherry Flag,1,Garnish,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Umbrella,1,Garnish,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Lime Juice,.75oz,Build,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Kassatly Chtaura Orgeat,.5oz,Build,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beachbum,Rothman & Winter Orchard Apricot,.5oz,Build,Tiki Mug,Shake with ice and strain into a chilled tiki mug filled with ice cubes
Beer and a Smoke,Victory Pilsner,6oz,Top,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Cholula,4dashes,Build,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Sombra Mezcal,1oz,Build,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,The Bitter Truth Celery Bitters,1dash,Build,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Lime Zest,1,Garnish,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Orange Zest,1,Garnish,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Lime Juice,.75oz,Build,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Celery Salt,,Rim,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Ground Black Pepper,,Rim,Collins,Stir with ice and strain into a chilled Collins glass
Beer and a Smoke,Kosher Salt,,Rim,Collins,Stir with ice and strain into a chilled Collins glass
Beer Cassis,Brooklyn Brewery Local 1,6oz,Top,Wine,Stir with ice and strain into a chilled white wine glass
Beer Cassis,Dubonnet Rouge,1oz,Build,Wine,Stir with ice and strain into a chilled white wine glass
Beer Cassis,Lemon Twist,1,Garnish,Wine,Stir with ice and strain into a chilled white wine glass
Beer Cassis,Theurlet Creme de Cassis,.25oz,Build,Wine,Stir with ice and strain into a chilled white wine glass
Bee's Knees,Plymouth Gin,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bee's Knees,Honey Syrup,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bee's Knees,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bee's Sip,Chamomile-Infused Barsol Quebranta Pisco,2.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bee's Sip,"Masumi ""Okuden"" Junmai Sake",1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bee's Sip,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Bee's Sip,Barenjager Honey Liqueur,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bee's Sip,St. Germain Elderflower Liqueur,,Rinse,Coupe,Stir with ice and strain into a chilled coupe
Benton's Old-Fashioned,Benton's Bacon Fat-Infused Four Roses Bourbon,2oz,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Benton's Old-Fashioned,Angostura Bitters,2dashes,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Benton's Old-Fashioned,Orange Twist,1,Garnish,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Benton's Old-Fashioned,Deep Mountain Grade B Maple Syrup,.25oz,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Berlioni,Tanqueray Gin,1.5oz,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Berlioni,Orange Twist,1,Garnish,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Berlioni,Cynar,.75oz,Garnish,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Berlioni,Noilly Prat Dry Vermouth,.5oz,Garnish,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Betsy Ross,Pierre Ferrand Ambre Cognac,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Betsy Ross,Angostura Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Betsy Ross,Pinch Grated Nutmeg,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Betsy Ross,Dow's Ruby Port,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Betsy Ross,Grand Marnier,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Betula,Birch-Infused Rittenhouse Bonded Rye Whiskey,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Betula,Matusalem Gran Reserva Rum,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Betula,Star Anise Pod,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Betula,Deep Mountain Grade B Maple Syrup,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Betula,Lemon Juice,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bijou,Dolin Sweet Vermouth,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bijou,Green Chartreuse,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bijou,Tanqueray Gin,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bijou,House Orange Bitters,1dash,Build,Coupe,Stir with ice and strain into a chilled coupe
Bijou,Cherry,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Bijou,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Bizet,Moet Imperial Champagne,1oz,Top,Coupe,Stir with ice and strain into a chilled coupe
Bizet,Shinn Estate Rose,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bizet,Flamed Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Bizet,Amaro Ciociaro,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bizet,Luxardo Bitter,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Black Flip,Brooklyn Black Chocolate Stout,2oz,Build,Fizz,"Swirl to decarbonate beer, dry-shake and then shake with ice and strain into a chilled fizz glass"
Black Flip,Cruzan Black Strap Rum,1.5oz,Build,Fizz,"Swirl to decarbonate beer, dry-shake and then shake with ice and strain into a chilled fizz glass"
Black Flip,Pinch Grated Nutmeg,1,Garnish,Fizz,"Swirl to decarbonate beer, dry-shake and then shake with ice and strain into a chilled fizz glass"
Black Flip,Whole Egg,1,Build,Fizz,"Swirl to decarbonate beer, dry-shake and then shake with ice and strain into a chilled fizz glass"
Black Flip,Demerara Syrup,.5oz,Build,Fizz,"Swirl to decarbonate beer, dry-shake and then shake with ice and strain into a chilled fizz glass"
Black Jack,Cherry,3,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Black Jack,Pierre Ferrand Ambre Cognac,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Black Jack,9th Street Alphabet City Coffee Concentrate,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Black Jack,Clear Creek Kirschwasser,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Black Jack,Demerara Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Black Thorn (Irish),Black Bush Irish Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Black Thorn (Irish),Angostura Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Black Thorn (Irish),Dolin Dry Vermouth,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Black Thorn (Irish),Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Black Thorn (Irish),St. George Absinthe,,Rinse,Coupe,Stir with ice and strain into a chilled coupe
Blackbeard,Blackberry,4,Muddle,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackbeard,Beefeater Gin,1.5oz,Build,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackbeard,Mint Sprig,1,Garnish,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackbeard,Krogstad Aquavit,.75oz,Build,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackbeard,Pineapple Juice,.75oz,Build,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackbeard,Agave Syrup,.5oz,Build,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackbeard,Lemon Juice,.5oz,Build,Rocks,Dry-shake and pour unstrained into a chilled rocks glass filled with pebble ice
Blackstar,Smirnoff Black Vodka,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blackstar,Star Anise Pod,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Blackstar,Grapefruit Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blackstar,Lime Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blackstar,Borsci Sambuca,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blackstar,Simple Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blackthorn (English),House Orange Bitters,2dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn (English),Plymouth Gin,1.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn (English),Orange Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn (English),Carpano Antica Sweet Vermouth,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn (English),Plymouth Sloe Gin,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn Rose,Hendrick's Gin,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn Rose,Mymoune Rose Syrup,1barspoon,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn Rose,Lillet Rouge,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Blackthorn Rose,Plymouth Sloe Gin,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Blinker,Wild Turkey Rye Whiskey,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blinker,Grapefruit Juice,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blinker,Bonne Maman Raspberry Preserves,1barspoon,Build,Coupe,Shake with ice and strain into a chilled coupe
Blinker,Simple Syrup,.25oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blood and Sand,Famous Grouse Blended Scotch Whisky,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blood and Sand,Orange Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blood and Sand,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Blood and Sand,Cherry Heering,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bobby Burns,Benromach 12-Year-Old Single Malt Scotch Whisky,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bobby Burns,Benedictine,1barspoon,Build,Coupe,Stir with ice and strain into a chilled coupe
Bobby Burns,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Bobby Burns,Martini Sweet Vermouth,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brandy Crusta,Hine V.S.O.P. Cognac,2oz,Build,Wine,Shake with ice and strain into a chilled wine glass
Brandy Crusta,Lemon Peel,1,Garnish,Wine,Shake with ice and strain into a chilled wine glass
Brandy Crusta,Orange Peel,1,Garnish,Wine,Shake with ice and strain into a chilled wine glass
Brandy Crusta,Lemon Juice,.75oz,Build,Wine,Shake with ice and strain into a chilled wine glass
Brandy Crusta,Luxardo Maraschino Liqueur,.5oz,Build,Wine,Shake with ice and strain into a chilled wine glass
Brandy Crusta,Marie Brizard Orange Curacao,.5oz,Build,Wine,Shake with ice and strain into a chilled wine glass
Brandy Crusta,Sugar,,Rim,Wine,Shake with ice and strain into a chilled wine glass
Brazilian Tea Punch,Sencha Green Tea-Infused Leblon Cachaca,2oz,Build,Rocks,"Add everything to a chilled rocks glass, then top with pebble ice. Swizzle, then top with more pebble ice and swizzle again"
Brazilian Tea Punch,Lemongrass Syrup,1barspoon,Build,Rocks,"Add everything to a chilled rocks glass, then top with pebble ice. Swizzle, then top with more pebble ice and swizzle again"
Brazilian Tea Punch,Lime Disc,1,Build,Rocks,"Add everything to a chilled rocks glass, then top with pebble ice. Swizzle, then top with more pebble ice and swizzle again"
Brewer's Breakfast,Honey Nut Cheerios,8,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Brewer's Breakfast,Masumi Arabashiri Sake,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brewer's Breakfast,Glen Thunder Corn Whiskey,1oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brewer's Breakfast,Galliano L'Autentico,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bronx,Beefeater Gin,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bronx,Orange Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bronx,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bronx,Dolin Dry Vermouth,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Brooklyn,Rittenhouse Bonded Rye Whiskey,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brooklyn,Dolin Dry Vermouth,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brooklyn,Amer Picon,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brooklyn,Luxardo Maraschino Liqueur,.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brown Bomber,George Dickel No. 12 Tennessee Whisky,2oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brown Bomber,Lemon Twist,1,Garnish,Coupe,Stir with ice and strain into a chilled coupe
Brown Bomber,Lillet Blanc,.75oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brown Bomber,Suze,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Brown Derby,Maker's Mark Bourbon,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Brown Derby,Grapefruit Juice,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Brown Derby,Honey Syrup,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Bubbaloo,Peruvian Amargo Bitters,3dashes,Build,Coupe,Stir with ice and strain into a chilled coupe
Bubbaloo,Macchu Pisco,2.25oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bubbaloo,Carpano Antica Sweet Vermouth,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Bubbaloo,Rothman & Winter Orchard Apricot,.5oz,Build,Coupe,Stir with ice and strain into a chilled coupe
Buona Notte,Walnut-Infused Hine V.S.O.P. Cognac,2oz,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Buona Notte,Orange Twist,1,Garnish,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Buona Notte,Yellow Chartreuse,.5oz,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Buona Notte,Amaro Ciociaro,.25oz,Build,Rocks,Stir with ice and strain over one large cube into a chilled rocks glass
Caf̩ Arroz,Horchata,2oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Caf̩ Arroz,Gran Centenario Reposado Tequila,1.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Caf̩ Arroz,Pinch Grated Cinnamon,1,Garnish,Coupe,Shake with ice and strain into a chilled coupe
Caf̩ Arroz,Kahlua,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Caipirinha,Beleza Pura Cachaca,2oz,Build,Rocks,Shake with ice and pour unstrained into a chilled rocks glass
Caipirinha,Demerara Sugar,2barspoons,Build,Rocks,Shake with ice and pour unstrained into a chilled rocks glass
Caipirinha,Lime Wedge,2,Muddle,Rocks,Shake with ice and pour unstrained into a chilled rocks glass
Cameron's Kick,Famous Grouse Blended Scotch Whisky,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cameron's Kick,Jameson Irish Whiskey,1oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cameron's Kick,Lemon Juice,.75oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Cameron's Kick,Kassatly Chtaura Orgeat,.5oz,Build,Coupe,Shake with ice and strain into a chilled coupe
Caprice,House Orange Bitters,1dash,Build,Coupe,Stir with ice and strain into a chilled coupe
Caprice,Beefeater Gin,1.5,Build,Coupe,Stir with ice and strain into a chilled coupe
